"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10733","TC-018: Verify last page pagination (Known Issue)","chromium","Thu Nov 13 16:26:08 IST 2025","passed","Thu Nov 13 16:26:18 IST 2025","TMDB Discover - Comprehensive Test Suite > Negative Tests & Known Issues","test.spec.js","",""
"","10335","TC-010: Verify switching between types","chromium","Thu Nov 13 16:25:15 IST 2025","passed","Thu Nov 13 16:25:25 IST 2025","TMDB Discover - Comprehensive Test Suite > Type Filtering","test.spec.js","",""
"","8967","TC-002: Verify Trending category displays content","chromium","Thu Nov 13 16:24:34 IST 2025","passed","Thu Nov 13 16:24:43 IST 2025","TMDB Discover - Comprehensive Test Suite > Category Filtering","test.spec.js","",""
"","10765","TC-012: Verify rating filter","chromium","Thu Nov 13 16:25:25 IST 2025","passed","Thu Nov 13 16:25:36 IST 2025","TMDB Discover - Comprehensive Test Suite > Rating Filtering","test.spec.js","",""
"","15754","TC-014: Verify single genre filter (Action)","chromium","Thu Nov 13 16:25:37 IST 2025","passed","Thu Nov 13 16:25:53 IST 2025","TMDB Discover - Comprehensive Test Suite > Genre Filtering","test.spec.js","",""
"","15874","TC-013: Verify Maximum rating filter","chromium","Thu Nov 13 16:25:36 IST 2025","passed","Thu Nov 13 16:25:52 IST 2025","TMDB Discover - Comprehensive Test Suite > Rating Filtering","test.spec.js","",""
"","7911","TC-003: Verify Newest category displays content","chromium","Thu Nov 13 16:24:43 IST 2025","passed","Thu Nov 13 16:24:51 IST 2025","TMDB Discover - Comprehensive Test Suite > Category Filtering","test.spec.js","",""
"","11824","TC-011: Verify year range filtering","chromium","Thu Nov 13 16:25:25 IST 2025","passed","Thu Nov 13 16:25:37 IST 2025","TMDB Discover - Comprehensive Test Suite > Year Filtering","test.spec.js","",""
"","12918","TC-006: Verify search with partial title","chromium","Thu Nov 13 16:24:52 IST 2025","passed","Thu Nov 13 16:25:05 IST 2025","TMDB Discover - Comprehensive Test Suite > Search Functionality","test.spec.js","",""
"","8688","TC-001: Verify Popular category displays content","chromium","Thu Nov 13 16:24:34 IST 2025","passed","Thu Nov 13 16:24:43 IST 2025","TMDB Discover - Comprehensive Test Suite > Category Filtering","test.spec.js","",""
"","12250","TC-005: Verify search with valid movie title","chromium","Thu Nov 13 16:24:51 IST 2025","passed","Thu Nov 13 16:25:03 IST 2025","TMDB Discover - Comprehensive Test Suite > Search Functionality","test.spec.js","",""
"","11455","TC-015: Verify selecting specific page updates grid","chromium","Thu Nov 13 16:25:52 IST 2025","passed","Thu Nov 13 16:26:03 IST 2025","TMDB Discover - Comprehensive Test Suite > Pagination","test.spec.js","",""
"","3506","TC-019: Verify direct slug access (Known Issue)","chromium","Thu Nov 13 16:26:16 IST 2025","passed","Thu Nov 13 16:26:19 IST 2025","TMDB Discover - Comprehensive Test Suite > Negative Tests & Known Issues","test.spec.js","",""
"","12325","TC-017: Verify Type + Genre + Year filter","chromium","Thu Nov 13 16:26:03 IST 2025","passed","Thu Nov 13 16:26:16 IST 2025","TMDB Discover - Comprehensive Test Suite > Combined Filters","test.spec.js","",""
"","12298","TC-009: Verify TV Shows filter","chromium","Thu Nov 13 16:25:13 IST 2025","passed","Thu Nov 13 16:25:25 IST 2025","TMDB Discover - Comprehensive Test Suite > Type Filtering","test.spec.js","",""
"","9433","TC-007: Verify search with no results","chromium","Thu Nov 13 16:25:03 IST 2025","passed","Thu Nov 13 16:25:13 IST 2025","TMDB Discover - Comprehensive Test Suite > Search Functionality","test.spec.js","",""
"","9146","TC-008: Verify Movies filter","chromium","Thu Nov 13 16:25:05 IST 2025","passed","Thu Nov 13 16:25:15 IST 2025","TMDB Discover - Comprehensive Test Suite > Type Filtering","test.spec.js","",""
"","14939","TC-016: Verify Next and Previous page navigation","chromium","Thu Nov 13 16:25:53 IST 2025","passed","Thu Nov 13 16:26:07 IST 2025","TMDB Discover - Comprehensive Test Suite > Pagination","test.spec.js","",""
"","8897","TC-004: Verify Top Rated category displays content","chromium","Thu Nov 13 16:24:44 IST 2025","passed","Thu Nov 13 16:24:52 IST 2025","TMDB Discover - Comprehensive Test Suite > Category Filtering","test.spec.js","",""
